REFERENCE_COMPOUND_NAME,PUBCHEM_CID,CHEBI_ID,CHEBI_NAME,COMPOUND_ID,MolecularFormula,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,Fingerprint2D,inflammation,multiple_sclerosis,mental_health
DUKE:MAGNOLOL,PCID:72300,CHEBI:6643,Magnolol,PCID:72300,C18H18O2,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,"InChI=1S/C18H18O2/c1-3-5-13-7-9-17(19)15(11-13)16-12-14(6-4-2)8-10-18(16)20/h3-4,7-12,19-20H,1-2,5-6H2",VVOAZFWZEDHOOU-UHFFFAOYSA-N,2-(2-hydroxy-5-prop-2-enylphenyl)-4-prop-2-enylphenol,AAADceB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAGgAACAAADASAmAAwBoAAAgCAAiBCAAACAAAgIAAIiAAGCIgIJiKCERKAcAAkwBEImAfAwPAOoAACAAAIAABAAAQAABAAAAAAAAAAAA==,False,True,True
DUKE:PHLORETIC-ACID,PCID:10394,CHEBI:32980,phloretic acid,PCID:10394,C9H10O3,C1=CC(=CC=C1CCC(=O)O)O,C1=CC(=CC=C1CCC(=O)O)O,"InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)",NMHMNPHRMNGLLB-UHFFFAOYSA-N,3-(4-hydroxyphenyl)propanoic acid,AAADccBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAAwDoAAAgCIAiDSCAACAAAgIAAIiAEGCIgIJjKCERKAcAAkwBEImAeIyKCOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:25-HYDROXY-24-METHOXYCYCLOARTANOL,PCID:157009968,CHEBI:NA,,PCID:157009968,C30H52O3,CC(CCC(C(C)O)OC)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C[C@H](CCC(C(C)O)OC)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C,"InChI=1S/C30H52O3/c1-19(8-9-22(33-7)20(2)31)21-12-14-28(6)24-11-10-23-26(3,4)25(32)13-15-29(23)18-30(24,29)17-16-27(21,28)5/h19-25,31-32H,8-18H2,1-7H3/t19-,20?,21-,22?,23+,24+,25+,27-,28+,29-,30+/m1/s1",KCKYABDSAUPMLI-XUDURKDJSA-N,"(1S,3R,6S,8R,11S,12S,15R,16R)-15-[(2R)-6-hydroxy-5-methoxyheptan-2-yl]-7,7,12,16-tetramethylpentacyclo[9.7.0.01,3.03,8.012,16]octadecan-6-ol",AAADcfB4MAAAAAAAAAAAAAAAGAAAAYAAAAAwYMAABgAAAGDAAAAAGgAACAAADxSggAICAAAABgAAAAAAAAAAAAAAAAAAAAAAAAABEAIAAAAAQAAEAAADAAGAwPAPgAAAAAAAAADAAAYAADAAAQAACAAAAA==,False,False,False
DUKE:P-OXYBENZALDEHYDE,PCID:126,CHEBI:NA,,PCID:126,C7H6O2,C1=CC(=CC=C1C=O)O,C1=CC(=CC=C1C=O)O,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",RGHHSNMVTDWUBI-UHFFFAOYSA-N,4-hydroxybenzaldehyde,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCIAihSgAACAAAkIAAIiAEGCMgIJjKCFRKAcQAkwBEImYeIzADOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:PROPYL-BUTYRATE,PCID:7770,CHEBI:89719,propyl butyrate,PCID:7770,C7H14O2,CCCC(=O)OCCC,CCCC(=O)OCCC,"InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3",HUAZGNHGCJGYNP-UHFFFAOYSA-N,propyl butanoate,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACACggAICCAAABAAIAACQCAAAAAAAAAAAAAEAAAAAABAAAAACAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:JASMOLIN-I,PCID:12304687,CHEBI:39113,jasmolin I,PCID:12304687,C21H30O3,CCC=CCC1=C(C(CC1=O)OC(=O)C2C(C2(C)C)C=C(C)C)C,CC/C=C\CC1=C([C@H](CC1=O)OC(=O)[C@@H]2[C@H](C2(C)C)C=C(C)C)C,"InChI=1S/C21H30O3/c1-7-8-9-10-15-14(4)18(12-17(15)22)24-20(23)19-16(11-13(2)3)21(19,5)6/h8-9,11,16,18-19H,7,10,12H2,1-6H3/b9-8-/t16-,18+,19+/m1/s1",NZKIRHFOLVYKFT-VUMXUWRFSA-N,"[(1S)-2-methyl-4-oxo-3-[(Z)-pent-2-enyl]cyclopent-2-en-1-yl] (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",AAADceB4MAAAAAAAAAAAAAAAGAAAAQAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADxSggAICCAAABACIAqDSCAAAAAAgAAAICAEAAEgABBYAIQACEAAEoAAIIQOIwIAPgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CICHORIN,PCID:442849,CHEBI:64977,cichorine,PCID:442849,C10H11NO3,CC1=C(C=C2C(=C1OC)CNC2=O)O,CC1=C(C=C2C(=C1OC)CNC2=O)O,"InChI=1S/C10H11NO3/c1-5-8(12)3-6-7(9(5)14-2)4-11-10(6)13/h3,12H,4H2,1-2H3,(H,11,13)",ICZVDXDXJQCDOJ-UHFFFAOYSA-N,"6-hydroxy-4-methoxy-5-methyl-2,3-dihydroisoindol-1-one",AAADccByMAAAAAAAAAAAAAAAAAAAAWAAAAAwAAAAAAAAAFgBAAAAHgAQCAAADATBmAYyBoLABgCIAiFSEACCCAAkIAAAiIEODMgMJzKGtBuEcShnxhWIuYe++P6O4AADCAAYAADAAAYQADAAAAAAAAAAAA==,False,False,False
DUKE:CIS-COMMUNAL,PCID:163184121,CHEBI:NA,,PCID:163184121,C20H30O,CC(=CCC1C(=C)CCC2C1(CCCC2(C)C=O)C)C=C,C/C(=C/C[C@H]1C(=C)CC[C@@H]2[C@@]1(CCC[C@]2(C)C=O)C)/C=C,"InChI=1S/C20H30O/c1-6-15(2)8-10-17-16(3)9-11-18-19(4,14-21)12-7-13-20(17,18)5/h6,8,14,17-18H,1,3,7,9-13H2,2,4-5H3/b15-8-/t17-,18-,19+,20+/m0/s1",GBIAINFWNNBJAS-TXKGFPPKSA-N,"(1S,4aR,5S,8aR)-1,4a-dimethyl-6-methylidene-5-[(2Z)-3-methylpenta-2,4-dienyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carbaldehyde",AAADceB4IAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAADAAAAAGgAAAAAADwCggAICAAAAAACIAihSgAAAAAAgAAAICAEAAAgIABIAAQAAAAAAgAAIgAMIiMCPgAAAAAAAAAAAAAQAACAAAAAAAAAAAA==,False,False,False
DUKE:POTASSIUM-OXIDE,PCID:9989219,CHEBI:88321,potassium oxide,PCID:9989219,K2O,[O-2].[K+].[K+],[O-2].[K+].[K+],InChI=1S/2K.O/q2*+1;-2,CHWRSCGUEQEHOH-UHFFFAOYSA-N,dipotassium;oxygen(2-),AAADcQAAIAAAYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:AGRIMONOLIDE,PCID:161362,CHEBI:NA,,PCID:161362,C18H18O5,COC1=CC=C(C=C1)CCC2CC3=C(C(=CC(=C3)O)O)C(=O)O2,COC1=CC=C(C=C1)CC[C@H]2CC3=C(C(=CC(=C3)O)O)C(=O)O2,"InChI=1S/C18H18O5/c1-22-14-5-2-11(3-6-14)4-7-15-9-12-8-13(19)10-16(20)17(12)18(21)23-15/h2-3,5-6,8,10,15,19-20H,4,7,9H2,1H3/t15-/m0/s1",TYFJTEPDESMEHE-HNNXBMFYSA-N,"(3S)-6,8-dihydroxy-3-[2-(4-methoxyphenyl)ethyl]-3,4-dihydroisochromen-1-one",AAADceB4OAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADBSgmAIyDoAABgCIAiDSCAACCAAkIAAIiAEGCMgMJzaGNRqCcWAl4BUIuQeI7PzOoAABCAAYAABAAAIQADAAAAAAAAAAAA==,False,False,False
DUKE:HULUPINIC-ACID,PCID:12310637,CHEBI:174469,Hulupinic acid,PCID:12310637,C15H20O4,CC(=CCC1(C(=O)C(=C(C1=O)O)O)CC=C(C)C)C,CC(=CCC1(C(=O)C(=C(C1=O)O)O)CC=C(C)C)C,"InChI=1S/C15H20O4/c1-9(2)5-7-15(8-6-10(3)4)13(18)11(16)12(17)14(15)19/h5-6,16-17H,7-8H2,1-4H3",KKNXLCGOZLVUHL-UHFFFAOYSA-N,"4,5-dihydroxy-2,2-bis(3-methylbut-2-enyl)cyclopent-4-ene-1,3-dione",AAADceBwOAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAGgAACAAADgSAgAACAAAAAgCIAqBSAAIAAAAgIAAACAFAAEgAABIIAQAAQAAEgAAIAQKCIAALAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CERASINONE,PCID:42608054,CHEBI:175210,Cerasinone,PCID:42608054,C18H18O6,COC1=CC(=C(C=C1)C2CC(=O)C3=C(O2)C=C(C=C3OC)O)OC,COC1=CC(=C(C=C1)C2CC(=O)C3=C(O2)C=C(C=C3OC)O)OC,"InChI=1S/C18H18O6/c1-21-11-4-5-12(14(8-11)22-2)15-9-13(20)18-16(23-3)6-10(19)7-17(18)24-15/h4-8,15,19H,9H2,1-3H3",JVUGHKAZGNYYCA-UHFFFAOYSA-N,"2-(2,4-dimethoxyphenyl)-7-hydroxy-5-methoxy-2,3-dihydrochromen-4-one",AAADceB4OAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADBSgmAIyBoAABgCIAqBSAAACCAAkIAAIiAEGCMgMJzaGNRqCeWCl4BUIuQeI7OzOIAAACAAIAABAAAAQABAAAAAAAAAAAA==,False,False,False
DUKE:SCHISANTHERIN-A,PCID:151529,CHEBI:9048,Schisantherin A,PCID:151529,C30H32O9,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C(C1(C)O)OC(=O)C5=CC=CC=C5)OC)OC)OC)OC)OCO3,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4[C@@H]([C@@]1(C)O)OC(=O)C5=CC=CC=C5)OC)OC)OC)OC)OCO3,"InChI=1S/C30H32O9/c1-16-12-18-13-21-25(38-15-37-21)26(35-5)22(18)23-19(14-20(33-3)24(34-4)27(23)36-6)28(30(16,2)32)39-29(31)17-10-8-7-9-11-17/h7-11,13-14,16,28,32H,12,15H2,1-6H3/t16-,28-,30-/m0/s1",UFCGDBKFOKKVAC-DSASHONVSA-N,"[(8S,9S,10S)-9-hydroxy-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-8-yl] benzoate",AAADcfB4PAAAAAAAAAAAAAAAAAAAASAAAAAwYMAAAAAYAEgBUAAAGgAACAAADVSgmAMyDoAABgCIAiDSCAACCAAkIAAIiAEGiMgdJzKENRqicSIlwBUPqYfI6PyOoAABCAAYQABAAAIQADCAAAAAAAAAAA==,False,False,False
DUKE:METHYL-N-UNDECYL-KETONE,PCID:11622,CHEBI:77928,tridecan-2-one,PCID:11622,C13H26O,CCCCCCCCCCCC(=O)C,CCCCCCCCCCCC(=O)C,"InChI=1S/C13H26O/c1-3-4-5-6-7-8-9-10-11-12-13(2)14/h3-12H2,1-2H3",CYIFVRUOHKNECG-UHFFFAOYSA-N,tridecan-2-one,AAADceBwIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACASAgAACAAAAAAAIAIAQAAAAAAAAAAAAAAEAAAAAABIAAAAAAAAAAAAAAAEIiICAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:PERSICAXANTHIN,PCID:14192308,CHEBI:175063,Persicaxanthin,PCID:14192308,C25H36O3,CC(=CC=CC=C(C)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C)CO,C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\[C@]12[C@](O1)(C[C@H](CC2(C)C)O)C)/CO,"InChI=1S/C25H36O3/c1-19(10-7-8-11-21(3)18-26)12-9-13-20(2)14-15-25-23(4,5)16-22(27)17-24(25,6)28-25/h7-15,22,26-27H,16-18H2,1-6H3/b8-7+,12-9+,15-14+,19-10+,20-13+,21-11+/t22-,24+,25-/m0/s1",JQVNCYNADFKYNN-LKODNMENSA-N,"(1R,3S,6S)-6-[(1E,3E,5E,7E,9E,11E)-13-hydroxy-3,7,12-trimethyltrideca-1,3,5,7,9,11-hexaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol",AAADcfB4MAAAAAAAAAAAAAAAEgAAAAAAAAAwAAAABIAAAAAAAAAAGgAACAAADlSggAICAAAABgCAAiBCAAAAAAAgAAAICAAAAAgIFAIAIQACUAAFwAAIsAPA4PQPgAAAAAAAAABCAAYQADAAAAAAAAAAAA==,False,False,False
"DUKE:3,4-DIHYDROXYPHENYLETHANOL",PCID:82755,CHEBI:68889,hydroxytyrosol,PCID:82755,C8H10O3,C1=CC(=C(C=C1CCO)O)O,C1=CC(=C(C=C1CCO)O)O,"InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2",JUUBCHWRXWPFFH-UHFFFAOYSA-N,"4-(2-hydroxyethyl)benzene-1,2-diol",AAADccBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCAAiBCAAACAAAgIAAIiAAGiIgJNiKCERKAcAEkwBEJmAeA4LQOIAABAAAAQABAAAIAAACAAAAAAAAAAA==,False,False,True
"DUKE:1,5-DIMETHYL-NAPHTHALENE",PCID:11306,CHEBI:48608,"1,5-dimethylnaphthalene",PCID:11306,C12H12,CC1=C2C=CC=C(C2=CC=C1)C,CC1=C2C=CC=C(C2=CC=C1)C,"InChI=1S/C12H12/c1-9-5-3-8-12-10(2)6-4-7-11(9)12/h3-8H,1-2H3",SDDBCEWUYXVGCQ-UHFFFAOYSA-N,"1,5-dimethylnaphthalene",AAADccBwAAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAADBUAAAGAAAAAAADACAGAAyAMAAAACAAiBCAAACAAAgAAAIiAAAAIgIICKAERCAIAAggAAIiAcAgMAOgAACAAAQAAAAAAQAACAAAAAAAAAAAA==,False,False,False
DUKE:TECOSTANINE,PCID:120773,CHEBI:9425,Tecostanine,PCID:120773,C11H21NO,CC1CCC2C1CN(CC2CO)C,CC1CCC2C1CN(CC2CO)C,"InChI=1S/C11H21NO/c1-8-3-4-10-9(7-13)5-12(2)6-11(8)10/h8-11,13H,3-7H2,1-2H3",CRVXJVHSLVEDRI-UHFFFAOYSA-N,"(2,7-dimethyl-1,3,4,4a,5,6,7,7a-octahydrocyclopenta[c]pyridin-4-yl)methanol",AAADceByIAAAAAAAAAAAAAAAAAAAAYAAAAAsAAAAAAAAAFgAAAAAHgAACAAADQDhgAYCAAMAAgAAAAAAAAAAAAAAAAAAAAAIAAAAEAIAgAAEQAAGAACAAAGQ0PIOgAAAAAAAAAAAAAAAAAAAAQAACAAAAA==,False,False,False
DUKE:CEVADINE,PCID:5380394,CHEBI:184034,Cevadine,PCID:5380394,C32H49NO9,CC=C(C)C(=O)OC1CCC2(C3C1(OC24CC5(C6CN7CC(CCC7C(C6(C(CC5(C4CC3)O)O)O)(C)O)C)O)O)C,C/C=C(/C)\C(=O)O[C@H]1CC[C@]2([C@H]3[C@@]1(O[C@@]24C[C@]5([C@@H]6CN7C[C@H](CC[C@H]7[C@@]([C@]6([C@H](C[C@]5([C@@H]4CC3)O)O)O)(C)O)C)O)O)C,"InChI=1S/C32H49NO9/c1-6-18(3)25(35)41-24-11-12-26(4)19-8-9-20-28(37)13-23(34)31(39)21(29(28,38)16-30(20,26)42-32(19,24)40)15-33-14-17(2)7-10-22(33)27(31,5)36/h6,17,19-24,34,36-40H,7-16H2,1-5H3/b18-6-/t17-,19-,20-,21-,22-,23-,24-,26-,27+,28+,29+,30+,31-,32-/m0/s1",DBUCFOVFALNEOO-HWBIYQLFSA-N,"[(1R,2S,6S,9S,10R,11S,12S,14R,15S,18S,19S,22S,23S,25R)-1,10,11,12,14,23-hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] (Z)-2-methylbut-2-enoate",AAADcfB+PAAAAAAAAAAAAAAAAAAAAaIAAAA8eMECBIkAAGCwAAAAHgAACAAAD3zhgAYCCAMABgCIAiDSCAAAAAAAAAAACAEIAEATFAIAoQAGUAAHAACXIYHw8P8PgAAAAAAAAADCAAYQADCAAYQADCAAAA==,False,False,False
DUKE:CAPROALDEHYDE,PCID:6184,CHEBI:179301,2-hydroxy caproaldehyde,PCID:6184,C6H12O,CCCCCC=O,CCCCCC=O,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",JARKCYVAAOWBJS-UHFFFAOYSA-N,hexanal,AAADccBgIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACACggAICAAAAAAAIAAgQgAAAAAAAAAAAAAEAAAAAABIAAAAAAAAAAAAAAAEICAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:DIHYDROCINCHONIDINE,PCID:6914728,CHEBI:NA,,PCID:6914728,C19H24N2O,CCC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=CC=NC4=CC=CC=C34)O,"InChI=1S/C19H24N2O/c1-2-13-12-21-10-8-14(13)11-18(21)19(22)16-7-9-20-17-6-4-3-5-15(16)17/h3-7,9,13-14,18-19,22H,2,8,10-12H2,1H3/t13-,14-,18-,19+/m0/s1",WFJNHVWTKZUUTR-KODHJQJWSA-N,"(R)-[(2S,4S,5R)-5-ethyl-1-azabicyclo[2.2.2]octan-2-yl]-quinolin-4-ylmethanol",AAADceB7IAAAAAAAAAAAAAAAAAAAAAAAAAA8WLFiAAAAAACx8AAAHgAACAAADTzhngY+wPMIEgCgAzRnRACCgCAxAiAI2CA4bJgKNuLAkZGEcAhkwAHY2AewwPAOgAAAAAACAAAAAAAAAAQAAAAAAAAAAA==,False,False,False
DUKE:TRIGLYCERIDES,PCID:5460048,CHEBI:17855,triglyceride,PCID:5460048,C6H8O6,C(C(COC=O)OC=O)OC=O,C(C(COC=O)OC=O)OC=O,"InChI=1S/C6H8O6/c7-3-10-1-6(12-5-9)2-11-4-8/h3-6H,1-2H2",UFTFJSFQGQCHQW-UHFFFAOYSA-N,"2,3-diformyloxypropyl formate",AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACBSggAMACAAABAAIAAAAiAAAAAAAAAAAAAAAAAABAAAAAAAAAAABAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CEDRENOL,PCID:119831,CHEBI:NA,,PCID:119831,C15H24O,CC1CCC2C13CC(C2(C)C)C(=C)C(C3)O,CC1CCC2C13CC(C2(C)C)C(=C)C(C3)O,"InChI=1S/C15H24O/c1-9-5-6-13-14(3,4)11-7-15(9,13)8-12(16)10(11)2/h9,11-13,16H,2,5-8H2,1,3-4H3",DJYWGTBEZVORGE-UHFFFAOYSA-N,"2,6,6-trimethyl-8-methylidenetricyclo[5.3.1.01,5]undecan-9-ol",AAADceBwIAAAAAAAAAAAAAAAAAAAAYMAAAAwAAAABgAYAADAAAAAGgAACAAADxSggAICAAAAAgCAAgBCAAAAAAAgAAAAAAAAAAgAFAIAAQAAQAAEgAAAEAGAwPAPgAAAAAAAAAAAAAYAAAAAAQAACAAAAA==,False,False,False
DUKE:PHELLOPTERIN,PCID:98608,CHEBI:80887,Phellopterin,PCID:98608,C17H16O5,CC(=CCOC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)C,CC(=CCOC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)C,"InChI=1S/C17H16O5/c1-10(2)6-8-21-17-15-12(7-9-20-15)14(19-3)11-4-5-13(18)22-16(11)17/h4-7,9H,8H2,1-3H3",BMLZFLQMBMYVHG-UHFFFAOYSA-N,"4-methoxy-9-(3-methylbut-2-enoxy)furo[3,2-g]chromen-7-one",AAADceB4OAAAAAAAAAAAAAAAAAAAASAAAAAwQAAAAAAAAEiB8AAAGgAAAAAADASgmAIyDsAABECIAqjSiAICCAAkIAAIiAFGiMgNJzaENR6CO2Kl4BUKqYfK7PzOIQADCAAIQABCAAYQABCAAAAAAAAAAA==,False,False,True
DUKE:MANDELONITRILE-GLUCOSIDE,PCID:120639,CHEBI:25150,prunasin,PCID:120639,C14H17NO6,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)CO)O)O)O,C1=CC=C(C=C1)C(C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,"InChI=1S/C14H17NO6/c15-6-9(8-4-2-1-3-5-8)20-14-13(19)12(18)11(17)10(7-16)21-14/h1-5,9-14,16-19H,7H2/t9?,10-,11-,12+,13-,14-/m1/s1",ZKSZEJFBGODIJW-MXNNCRBYSA-N,"2-phenyl-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyacetonitrile",AAADceByOAAAAAAAAAAAAAAAAAAAAAAAAAA0QAAAAAAAAAABAAAAHgAACAAADBSxmAMwCIAABgCQBiBCAAACAAAgAAAIiAAACIgZtiKAMRiicAAlwAEPqA/A4KwOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:6-PHOSPHOGLUCONATE-DEHYDROGENASE,PCID:9500,CHEBI:74514,6-aminonicotinamide,PCID:9500,C6H7N3O,C1=CC(=NC=C1C(=O)N)N,C1=CC(=NC=C1C(=O)N)N,"InChI=1S/C6H7N3O/c7-5-2-1-4(3-9-5)6(8)10/h1-3H,(H2,7,9)(H2,8,10)",ZLWYEPMDOUQDBW-UHFFFAOYSA-N,6-aminopyridine-3-carboxamide,AAADcYBjIAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHgAQAAAADADBmgQ9sJJIEACoAjN3dACCgCk1AiAI2CE4ZNiIIPrA1ZGEIYhgkALIyeYYAQAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:PIPERONAL,PCID:8438,CHEBI:8240,piperonal,PCID:8438,C8H6O3,C1OC2=C(O1)C=C(C=C2)C=O,C1OC2=C(O1)C=C(C=C2)C=O,"InChI=1S/C8H6O3/c9-4-6-1-2-7-8(3-6)11-5-10-7/h1-4H,5H2",SATCULPHIDQDRE-UHFFFAOYSA-N,"1,3-benzodioxole-5-carbaldehyde",AAADcYBwMAAAAAAAAAAAAAAAAAAAASAAAAAwAAAAAAAAAEgBAAAAGgAAAAAADASgmAMwDoAABACIAihSgAACCAAkIAAIiAEGiMgdJjKENRqgMSIkwBEOqYeKzBDOIAABAAAAQABAAAIAAACAAAAAAAAAAA==,False,False,False
DUKE:CARMICHAELINE,PCID:441742,CHEBI:6113,karakoline,PCID:441742,C22H35NO4,CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6O)OC)O)O)C,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6O)OC)O)O)C,"InChI=1S/C22H35NO4/c1-4-23-10-20(2)6-5-16(24)22-12-7-11-14(27-3)9-21(26,17(12)18(11)25)13(19(22)23)8-15(20)22/h11-19,24-26H,4-10H2,1-3H3/t11-,12-,13+,14+,15-,16+,17-,18+,19?,20+,21+,22-/m1/s1",HKQZUYOVMYOFIT-VHNBHZRZSA-N,"(1S,2R,3R,4S,5S,6S,8S,9S,13R,16S,17R)-11-ethyl-6-methoxy-13-methyl-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-4,8,16-triol",AAADcfB6OAAAAAAAAAAAAAAAAAAAAYMAAAA8YMEAB4gWAGAAAAAAHgAACAAAD3zhgAYCAAMABgAAAAAAAAAAAAAAAAAAAAAIAAAAEAIAgAAEQAAHAACAAAGQ8P8PgAAAAAAAAADQAAaUADQAAaAADQAAAA==,False,False,False
DUKE:POGOSTOL,PCID:5320651,CHEBI:167356,Pogostole,PCID:5320651,C15H26O,CC1CCC2C1CC(CCC2(C)O)C(=C)C,CC1CCC2C1CC(CCC2(C)O)C(=C)C,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)13(14)9-12/h11-14,16H,1,5-9H2,2-4H3",VYOZKWKETGHHDW-UHFFFAOYSA-N,"1,4-dimethyl-7-prop-1-en-2-yl-2,3,3a,5,6,7,8,8a-octahydro-1H-azulen-4-ol",AAADceBwIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAAABgAAAADAAAAAGgAACAAADUSAgAACAAAAAgCAAgBCAAAAAAAgAAAAAAAAAAgAAAIAAQAAQAAEgAAAAAGAwPAOgAAAAAAAAAAAAAAAAAAAAQAACAAAAA==,False,False,False
